Freq.	-V(out)/I(Vtest)
9.44794129143647e+01	1.00646922096273e+02,-1.68116444206036e+02
9.51365692002200e+01	1.00643027057225e+02,-1.66955188964314e+02
9.57982963695166e+01	1.00639185640066e+02,-1.65801954987788e+02
9.64646262152632e+01	1.00635397106545e+02,-1.64656686872449e+02
9.71355907516061e+01	1.00631660728578e+02,-1.63519329596937e+02
9.78112222153679e+01	1.00627975788102e+02,-1.62389828519897e+02
9.84915530675957e+01	1.00624341576943e+02,-1.61268129377357e+02
9.91766159951214e+01	1.00620757396673e+02,-1.60154178280120e+02
9.98664439121314e+01	1.00617222558480e+02,-1.59047921711178e+02
1.00561069961749e+02	1.00613736383032e+02,-1.57949306523144e+02
1.01260527517625e+02	1.00610298200355e+02,-1.56858279935696e+02
1.01964850185543e+02	1.00606907349693e+02,-1.55774789533045e+02
1.02674071805035e+02	1.00603563179384e+02,-1.54698783261417e+02
1.03388226451002e+02	1.00600265046743e+02,-1.53630209426553e+02
1.04107348435357e+02	1.00597012317932e+02,-1.52569016691231e+02
1.04831472308672e+02	1.00593804367831e+02,-1.51515154072792e+02
1.05560632861834e+02	1.00590640579937e+02,-1.50468570940701e+02
1.06294865127724e+02	1.00587520346224e+02,-1.49429217014110e+02
1.07034204382892e+02	1.00584443067043e+02,-1.48397042359445e+02
1.07778686149258e+02	1.00581408150996e+02,-1.47371997388007e+02
1.08528346195816e+02	1.00578415014827e+02,-1.46354032853595e+02
1.09283220540354e+02	1.00575463083312e+02,-1.45343099850133e+02
1.10043345451182e+02	1.00572551789142e+02,-1.44339149809331e+02
1.10808757448877e+02	1.00569680572818e+02,-1.43342134498344e+02
1.11579493308035e+02	1.00566848882546e+02,-1.42352006017462e+02
1.12355590059043e+02	1.00564056174127e+02,-1.41368716797804e+02
1.13137084989851e+02	1.00561301910852e+02,-1.40392219599040e+02
1.13924015647769e+02	1.00558585563401e+02,-1.39422467507117e+02
1.14716419841269e+02	1.00555906609742e+02,-1.38459413932008e+02
1.15514335641803e+02	1.00553264535027e+02,-1.37503012605475e+02
1.16317801385628e+02	1.00550658831497e+02,-1.36553217578846e+02
1.17126855675653e+02	1.00548088998383e+02,-1.35609983220808e+02
1.17941537383291e+02	1.00545554541810e+02,-1.34673264215217e+02
1.18761885650327e+02	1.00543054974700e+02,-1.33743015558920e+02
1.19587939890798e+02	1.00540589816679e+02,-1.32819192559595e+02
1.20419739792889e+02	1.00538158593991e+02,-1.31901750833604e+02
1.21257325320835e+02	1.00535760839397e+02,-1.30990646303861e+02
1.22100736716848e+02	1.00533396092088e+02,-1.30085835197716e+02
1.22950014503044e+02	1.00531063897605e+02,-1.29187274044850e+02
1.23805199483395e+02	1.00528763807742e+02,-1.28294919675194e+02
1.24666332745683e+02	1.00526495380462e+02,-1.27408729216845e+02
1.25533455663483e+02	1.00524258179812e+02,-1.26528660094019e+02
1.26406609898144e+02	1.00522051775843e+02,-1.25654670024995e+02
1.27285837400790e+02	1.00519875744521e+02,-1.24786717020092e+02
1.28171180414343e+02	1.00517729667652e+02,-1.23924759379650e+02
1.29062681475544e+02	1.00515613132801e+02,-1.23068755692024e+02
1.29960383417001e+02	1.00513525733202e+02,-1.22218664831602e+02
1.30864329369249e+02	1.00511467067698e+02,-1.21374445956823e+02
1.31774562762815e+02	1.00509436740648e+02,-1.20536058508217e+02
1.32691127330314e+02	1.00507434361856e+02,-1.19703462206461e+02
1.33614067108543e+02	1.00505459546505e+02,-1.18876617050438e+02
1.34543426440598e+02	1.00503511915067e+02,-1.18055483315322e+02
1.35479249978008e+02	1.00501591093239e+02,-1.17240021550664e+02
1.36421582682877e+02	1.00499696711877e+02,-1.16430192578503e+02
1.37370469830044e+02	1.00497828406909e+02,-1.15625957491480e+02
1.38325957009262e+02	1.00495985819284e+02,-1.14827277650970e+02
1.39288090127384e+02	1.00494168594889e+02,-1.14034114685229e+02
1.40256915410570e+02	1.00492376384481e+02,-1.13246430487545e+02
1.41232479406509e+02	1.00490608843631e+02,-1.12464187214415e+02
1.42214828986655e+02	1.00488865632648e+02,-1.11687347283721e+02
1.43204011348480e+02	1.00487146416518e+02,-1.10915873372930e+02
1.44200074017737e+02	1.00485450864834e+02,-1.10149728417297e+02
1.45203064850750e+02	1.00483778651743e+02,-1.09388875608087e+02
1.46213032036708e+02	1.00482129455875e+02,-1.08633278390805e+02
1.47230024099984e+02	1.00480502960283e+02,-1.07882900463445e+02
1.48254089902464e+02	1.00478898852381e+02,-1.07137705774739e+02
1.49285278645893e+02	1.00477316823888e+02,-1.06397658522432e+02
1.50323639874246e+02	1.00475756570768e+02,-1.05662723151560e+02
1.51369223476100e+02	1.00474217793162e+02,-1.04932864352738e+02
1.52422079687034e+02	1.00472700195347e+02,-1.04208047060472e+02
1.53482259092047e+02	1.00471203485668e+02,-1.03488236451467e+02
1.54549812627980e+02	1.00469727376481e+02,-1.02773397942960e+02
1.55624791585970e+02	1.00468271584104e+02,-1.02063497191056e+02
1.56707247613913e+02	1.00466835828758e+02,-1.01358500089077e+02
1.57797232718942e+02	1.00465419834516e+02,-1.00658372765927e+02
1.58894799269930e+02	1.00464023329249e+02,-9.99630815844638e+01
1.60000000000005e+02	1.00462646044572e+02,-9.92725931398822e+01
1.61112888009080e+02	1.00461287715796e+02,-9.85868742581102e+01
1.62233516766409e+02	1.00459948081873e+02,-9.79058919942155e+01
1.63361940113156e+02	1.00458626885346e+02,-9.72296136308228e+01
1.64498212264976e+02	1.00457323872308e+02,-9.65580066765423e+01
1.65642387814625e+02	1.00456038792339e+02,-9.58910388644091e+01
1.66794521734584e+02	1.00454771398469e+02,-9.52286781503328e+01
1.67954669379696e+02	1.00453521447129e+02,-9.45708927115586e+01
