Freq.	V(out)
6.49801917085001e+01	6.56997516924454e-03,-1.34233440414670e-04
6.54321646846238e+01	6.56994113176703e-03,-1.35052996110697e-04
6.58872813814072e+01	6.56990662759597e-03,-1.35879022280617e-04
6.63455636651567e+01	6.56987165011488e-03,-1.36711558229652e-04
6.68070335542709e+01	6.56983619261685e-03,-1.37550643567764e-04
6.72717132202985e+01	6.56980024830350e-03,-1.38396318211403e-04
6.77396249890036e+01	6.56976381028278e-03,-1.39248622385227e-04
6.82107913414379e+01	6.56972687156818e-03,-1.40107596623871e-04
6.86852349150217e+01	6.56968942507807e-03,-1.40973281773738e-04
6.91629785046307e+01	6.56965146363326e-03,-1.41845718994744e-04
6.96440450636914e+01	6.56961297995604e-03,-1.42724949762127e-04
7.01284577052843e+01	6.56957396666894e-03,-1.43611015868248e-04
7.06162397032539e+01	6.56953441629342e-03,-1.44503959424408e-04
7.11074144933271e+01	6.56949432124779e-03,-1.45403822862662e-04
7.16020056742393e+01	6.56945367384666e-03,-1.46310648937668e-04
7.21000370088680e+01	6.56941246629900e-03,-1.47224480728529e-04
7.26015324253744e+01	6.56937069070633e-03,-1.48145361640645e-04
7.31065160183536e+01	6.56932833906210e-03,-1.49073335407599e-04
7.36150120499916e+01	6.56928540324954e-03,-1.50008446093025e-04
7.41270449512313e+01	6.56924187503984e-03,-1.50950738092500e-04
7.46426393229462e+01	6.56919774609140e-03,-1.51900256135457e-04
7.51618199371226e+01	6.56915300794794e-03,-1.52857045287101e-04
7.56846117380493e+01	6.56910765203628e-03,-1.53821150950316e-04
7.62110398435167e+01	6.56906166966569e-03,-1.54792618867628e-04
7.67411295460228e+01	6.56901505202551e-03,-1.55771495123134e-04
7.72749063139893e+01	6.56896779018382e-03,-1.56757826144477e-04
7.78123957929846e+01	6.56891987508581e-03,-1.57751658704808e-04
7.83536238069559e+01	6.56887129755154e-03,-1.58753039924763e-04
7.88986163594705e+01	6.56882204827500e-03,-1.59762017274475e-04
7.94473996349646e+01	6.56877211782150e-03,-1.60778638575556e-04
8.00000000000018e+01	6.56872149662671e-03,-1.61802952003134e-04
8.05564440045393e+01	6.56867017499398e-03,-1.62835006087857e-04
8.11167583832042e+01	6.56861814309341e-03,-1.63874849717958e-04
8.16809700565773e+01	6.56856539095907e-03,-1.64922532141276e-04
8.22491061324872e+01	6.56851190848803e-03,-1.65978102967339e-04
8.28211939073121e+01	6.56845768543752e-03,-1.67041612169416e-04
8.33972608672916e+01	6.56840271142404e-03,-1.68113110086619e-04
8.39773346898473e+01	6.56834697591984e-03,-1.69192647425964e-04
8.45614432449124e+01	6.56829046825318e-03,-1.70280275264521e-04
8.51496145962708e+01	6.56823317760402e-03,-1.71376045051482e-04
8.57418770029054e+01	6.56817509300328e-03,-1.72480008610313e-04
8.63382589203562e+01	6.56811620333053e-03,-1.73592218140883e-04
8.69387890020867e+01	6.56805649731172e-03,-1.74712726221608e-04
8.75434961008612e+01	6.56799596351708e-03,-1.75841585811612e-04
8.81524092701309e+01	6.56793459035930e-03,-1.76978850252898e-04
8.87655577654297e+01	6.56787236609062e-03,-1.78124573272511e-04
8.93829710457797e+01	6.56780927880124e-03,-1.79278808984741e-04
9.00046787751069e+01	6.56774531641734e-03,-1.80441611893334e-04
9.06307108236660e+01	6.56768046669733e-03,-1.81613036893658e-04
9.12610972694761e+01	6.56761471723146e-03,-1.82793139274975e-04
9.18958683997650e+01	6.56754805543785e-03,-1.83981974722628e-04
9.25350547124252e+01	6.56748046856151e-03,-1.85179599320317e-04
9.31786869174787e+01	6.56741194367077e-03,-1.86386069552324e-04
9.38267959385526e+01	6.56734246765522e-03,-1.87601442305772e-04
9.44794129143647e+01	6.56727202722366e-03,-1.88825774872918e-04
9.51365692002200e+01	6.56720060890120e-03,-1.90059124953416e-04
9.57982963695166e+01	6.56712819902643e-03,-1.91301550656600e-04
9.64646262152632e+01	6.56705478374933e-03,-1.92553110503794e-04
9.71355907516061e+01	6.56698034902915e-03,-1.93813863430642e-04
9.78112222153679e+01	6.56690488062998e-03,-1.95083868789365e-04
9.84915530675957e+01	6.56682836412024e-03,-1.96363186351159e-04
9.91766159951214e+01	6.56675078486832e-03,-1.97651876308479e-04
9.98664439121314e+01	6.56667212804053e-03,-1.98949999277410e-04
1.00561069961749e+02	6.56659237859846e-03,-2.00257616300019e-04
1.01260527517625e+02	6.56651152129579e-03,-2.01574788846715e-04
1.01964850185543e+02	6.56642954067543e-03,-2.02901578818619e-04
1.02674071805035e+02	6.56634642106698e-03,-2.04238048549951e-04
1.03388226451002e+02	6.56626214658319e-03,-2.05584260810410e-04
1.04107348435357e+02	6.56617670111742e-03,-2.06940278807577e-04
1.04831472308672e+02	6.56609006834068e-03,-2.08306166189328e-04
1.05560632861834e+02	6.56600223169829e-03,-2.09681987046236e-04
1.06294865127724e+02	6.56591317440657e-03,-2.11067805913986e-04
1.07034204382892e+02	6.56582287945057e-03,-2.12463687775837e-04
1.07778686149258e+02	6.56573132957980e-03,-2.13869698065018e-04
1.08528346195816e+02	6.56563850730552e-03,-2.15285902667192e-04
1.09283220540354e+02	6.56554439489789e-03,-2.16712367922919e-04
1.10043345451182e+02	6.56544897438156e-03,-2.18149160630086e-04
1.10808757448877e+02	6.56535222753311e-03,-2.19596348046387e-04
1.11579493308035e+02	6.56525413587778e-03,-2.21053997891805e-04
1.12355590059043e+02	6.56515468068532e-03,-2.22522178351075e-04
1.13137084989851e+02	6.56505384296690e-03,-2.24000958076165e-04
1.13924015647769e+02	6.56495160347174e-03,-2.25490406188787e-04
1.14716419841269e+02	6.56484794268286e-03,-2.26990592282867e-04
1.15514335641803e+02	6.56474284081416e-03,-2.28501586427064e-04
1.16317801385628e+02	6.56463627780623e-03,-2.30023459167273e-04
1.17126855675653e+02	6.56452823332269e-03,-2.31556281529127e-04
1.17941537383291e+02	6.56441868674671e-03,-2.33100125020534e-04
1.18761885650327e+02	6.56430761717681e-03,-2.34655061634179e-04
1.19587939890798e+02	6.56419500342309e-03,-2.36221163850061e-04
1.20419739792889e+02	6.56408082400303e-03,-2.37798504638008e-04
1.21257325320835e+02	6.56396505713800e-03,-2.39387157460231e-04
1.22100736716848e+02	6.56384768074891e-03,-2.40987196273850e-04
1.22950014503044e+02	6.56372867245193e-03,-2.42598695533427e-04
1.23805199483395e+02	6.56360800955451e-03,-2.44221730193518e-04
1.24666332745683e+02	6.56348566905096e-03,-2.45856375711206e-04
1.25533455663483e+02	6.56336162761903e-03,-2.47502708048689e-04
1.26406609898144e+02	6.56323586161389e-03,-2.49160803675755e-04
1.27285837400790e+02	6.56310834706550e-03,-2.50830739572410e-04
1.28171180414343e+02	6.56297905967313e-03,-2.52512593231384e-04
1.29062681475544e+02	6.56284797480103e-03,-2.54206442660698e-04
1.29960383417001e+02	6.56271506747388e-03,-2.55912366386210e-04
1.30864329369249e+02	6.56258031237231e-03,-2.57630443454177e-04
1.31774562762815e+02	6.56244368382836e-03,-2.59360753433824e-04
1.32691127330314e+02	6.56230515581974e-03,-2.61103376419843e-04
1.33614067108543e+02	6.56216470196667e-03,-2.62858393035020e-04
1.34543426440598e+02	6.56202229552542e-03,-2.64625884432721e-04
1.35479249978008e+02	6.56187790938380e-03,-2.66405932299457e-04
1.36421582682877e+02	6.56173151605691e-03,-2.68198618857459e-04
1.37370469830044e+02	6.56158308768141e-03,-2.70004026867195e-04
1.38325957009262e+02	6.56143259600989e-03,-2.71822239629895e-04
1.39288090127384e+02	6.56128001240705e-03,-2.73653340990140e-04
1.40256915410570e+02	6.56112530784282e-03,-2.75497415338328e-04
1.41232479406509e+02	6.56096845288824e-03,-2.77354547613247e-04
1.42214828986655e+02	6.56080941770920e-03,-2.79224823304579e-04
1.43204011348480e+02	6.56064817206189e-03,-2.81108328455440e-04
1.44200074017737e+02	6.56048468528577e-03,-2.83005149664832e-04
1.45203064850750e+02	6.56031892629967e-03,-2.84915374090222e-04
1.46213032036708e+02	6.56015086359470e-03,-2.86839089449975e-04
1.47230024099984e+02	6.55998046522889e-03,-2.88776384025867e-04
1.48254089902464e+02	6.55980769882205e-03,-2.90727346665587e-04
1.49285278645893e+02	6.55963253154824e-03,-2.92692066785146e-04
1.50323639874246e+02	6.55945493013139e-03,-2.94670634371402e-04
1.51369223476100e+02	6.55927486083821e-03,-2.96663139984467e-04
1.52422079687034e+02	6.55909228947261e-03,-2.98669674760176e-04
1.53482259092047e+02	6.55890718136851e-03,-3.00690330412469e-04
1.54549812627980e+02	6.55871950138456e-03,-3.02725199235851e-04
1.55624791585970e+02	6.55852921389735e-03,-3.04774374107779e-04
1.56707247613913e+02	6.55833628279439e-03,-3.06837948491025e-04
1.57797232718942e+02	6.55814067146850e-03,-3.08916016436097e-04
1.58894799269930e+02	6.55794234281012e-03,-3.11008672583538e-04
1.60000000000005e+02	6.55774125920120e-03,-3.13116012166311e-04
1.61112888009080e+02	6.55753738250801e-03,-3.15238131012100e-04
1.62233516766409e+02	6.55733067407480e-03,-3.17375125545644e-04
1.63361940113156e+02	6.55712109471602e-03,-3.19527092790988e-04
1.64498212264976e+02	6.55690860470914e-03,-3.21694130373756e-04
1.65642387814625e+02	6.55669316378830e-03,-3.23876336523431e-04
1.66794521734584e+02	6.55647473113629e-03,-3.26073810075549e-04
1.67954669379696e+02	6.55625326537773e-03,-3.28286650473936e-04
1.69122886489826e+02	6.55602872457048e-03,-3.30514957772835e-04
1.70299229192543e+02	6.55580106619943e-03,-3.32758832639125e-04
